P1-01|風險說的是將來可能發生損失，但還不確定會不會發生、何時發生或損失多大。三個關鍵是將來性、不確定性、損失可能。|明天騎車可能發生事故是風險；昨天已付的修車費是已發生的損失。|哪個情境符合風險的將來性？|明天可能因颱風受損~昨天已確定的修理費~已支付的租金~已結清的帳單|風險三要件不包含哪一項？|損失金額必須龐大~具有不確定性~有損失可能~屬於將來
P1-02|風險因素是使損失更容易發生的條件；風險事故是實際發生的事件；損失是事件造成的結果。先找條件，再找事件，最後看結果。|老舊電線是因素，起火是事故，家具燒毀的價值是損失。|在「電線老舊→起火→家具燒毀」中，風險事故是？|起火~電線老舊~家具的金額損失~購買家具|把使事故更容易發生的條件稱作什麼？|風險因素~保險金~風險事故~受益權
P1-03|實質風險來自標的或環境，例如健康狀況與職業。道德風險是故意不誠實、企圖獲利；心理風險是疏忽或漠不關心。|故意縱火求理賠屬道德風險；投保後疏於維護屬心理風險。|投保後覺得有保障而不再維護設備，屬於？|心理風險~道德風險~投機利益~確定損失|為取得理賠而故意製造事故，屬於？|道德風險~心理風險~自然災害~純粹的環境因素
P1-04|分類要先看問題的比較軸。純粹風險只有損失或無損失；投機風險也可能獲利。靜態／動態看原因，基本／特定看影響範圍，客觀／主觀看衡量性。|股票可能賺也可能賠，屬投機；消費喜好轉變影響銷售，屬動態。|投資有可能獲利也可能虧損，依損失性質屬於？|投機風險~純粹風險~確定損失~風險自留|科技與消費者喜好改變造成損失，按原因屬於？|動態風險~靜態風險~無形損失~風險避免
P1-05|先確認面臨哪些風險，再衡量頻率及幅度，接著選擇處理方法，最後執行並定期評估。別在還沒找出問題之前就急著買商品。|先發現家庭缺少醫療準備，再估計費用，才選擇存款或保險安排。|風險管理的第一步是？|確認風險~購買保險~執行評估~計算保費|選擇風險管理方法之前，應先做什麼？|衡量風險~立刻理賠~終止所有活動~分配紅利
P1-06|頻率代表一定期間平均發生幾次或發生比率，幅度代表一次事故平均損失。預期損失成本用頻率預期值乘上幅度預期值。兩者都高通常最嚴重。|發生機率1%、每次損失20萬元，預期損失是2,000元。|事故機率2%、損失50萬元，預期損失成本為？|10,000元~1,000元~25,000元~100,000元|事故發生後的平均損失金額是？|損失幅度~損失頻率~預定利率~附加費用率
P1-07|事前可避免、預防或移轉；事中著重抑制損失程度；事後可能自行承擔。自留可能是有能力承擔，也可能是疏忽或沒有合適方法。|不參與危險活動是避免，健康檢查是預防，購買保險是移轉。|購買保險主要是哪種管理方法？|移轉~避免一切事故~消滅風險~增加風險|事故發生時努力減少損害程度，屬於？|抑制損失~事前避免~投機~增加頻率
P2-01|保險由多數人共同分攤少數人可能發生的經濟損失。它是風險移轉的一種方法，並不保證事故不會發生。|大家依約繳費，符合條件的事故由共同資源提供保障。|保險互助制度主要在做什麼？|分攤經濟損失~保證事故不發生~讓每個人獲利~取消所有不確定性|買了保險之後，下列理解何者正確？|事故仍可能發生~風險完全消失~所有損失都一定理賠~無須再管理風險
P2-02|講義將早期壽險雛形連到羅馬宗教團體，現代科學定價則連到生命表與英國衡平保險社。歷史細节放在核心掌握後再補。|記住「早期互助」與「現代定價」是兩個不同問題。|講義中的早期壽險雛形與哪類組織有關？|宗教團體~證券交易所~科技公司~中央銀行|现代壽險科學定價的重要基礎是？|生命表~股價線圖~不動產估價~人口姓名表
P2-03|生命表依年齡、性別等觀察死亡情形，利用大數法則協助計算。某年死亡率的分母是年初生存人數，分子是年度內死亡人數。|年初10,000人，年內20人死亡，死亡率是20÷10,000＝0.2%。|年初5,000人，年內10人死亡，死亡率是？|0.2%~2%~20%~0.02%|計算某年死亡率，應使用哪個分母？|年初生存人數~年底死亡人數~年底保單件數~保險金額
P2-04|國民生命表觀察國民或地區居民；壽險經驗生命表觀察投保壽險者；年金生命表用於年金。講義的死亡率排序為國民高於壽險經驗，再高於年金。|要先知道統計的是哪一群人，才能比較表格。|壽險業經驗生命表主要觀察誰？|參加人壽保險的被保險人~所有外國旅客~全體企業法人~只有受益人|依講義，同年齡何種表的死亡率通常較低？|年金生命表~國民生命表~三種完全相同~沒有任何差別
P2-05|經驗生命表隨統計與時間更新，講義列第一回至第六回的沿革。它用於費率、責任準備金及業務績效評估；年份題必須連同指定版本。|同一數值不能跨所有年代沿用。|經驗生命表更新時，應保留哪項資訊？|適用版本與日期~只留最高死亡率~只留公司名稱~刪除舊版標記|哪項是講義所列生命表用途？|計算責任準備金~決定股票每日價格~取代要保書~指定受益人
P2-06|保險功能可按個人、社會、國家分類。個人獲經濟保障，社會透過互助與儲蓄安定生活，國家層面有資本形成等效果。再保險則是保險人再分散承保風險。|不是每項效益都只屬個人，要看受影響的對象。|保險公司把承保風險再分給另一保險人，稱為？|再保險~受益人變更~保單借款~解除契約|協助個人晚年生活所需，較直接對應何種功能？|個人經濟保障~增加事故~保證投資獲利~代替所有社會政策
P2-07|講義描述現代商品以壽險保障為軸心，結合投資及資產管理。結合投資不代表每種商品都保證報酬，仍要辨認保障與投資各自條件。|看商品時分開問：保障什麼？誰承擔投資風險？|保險結合投資功能，是否表示必定獲利？|不表示~一定獲利~一定保本且無風險~一定由政府補足|講義所述现代發展以哪項為軸心？|壽險商品~信用卡~期貨~房地產買賣
P3-01|講義的保險業組織型態為股份有限公司或合作社；這是在談保險人的組織，不是在談要保人的身分。|公司能當要保人，不表示它就是經營保險的保險人。|講義列出的保險業組織型態為？|股份有限公司或合作社~只有自然人~只有獨資商號~只有學校|判斷保險業組織型態時，主要是在問哪個角色？|保險人~被保險人~身故受益人~繳費親屬
P3-02|業者家數與商品發展屬時點資料。工業化使意外保障受重視，通膨與儲蓄需求也影響商品設計。記數字時必須一起記統計日期。|不能把「某月底有幾家公司」當成永久不變的規則。|業者家數應如何閱讀？|連同統計年月~永遠不必更新~等於考試題數~等於保險法條數|工業化使意外事故受到關注，主要影響？|保障需求與商品設計~保險不再需要~所有保費歸零~受益人全部改為國家
P3-03|家庭結構、壽命延長與高齡化會改變保障需求。退休收入、醫療與長照準備因此受到重視；不能只沿用年輕時的保障安排。|育兒期與退休期面對的家庭責任不同。|壽命延長通常使哪項規劃更重要？|退休生活與照顧費用~完全取消醫療保障~不再需要儲蓄~只看短期流行|雙薪、小家庭等變化提醒我們？|保障需配合人生階段~每人適用相同保單~保額永遠不變~只需看商品名稱
P3-04|講義以死亡給付除以保單價值準備金，區分不同年齡的最低比率。核心方向是隨高齡遞減；掃描末欄不完整，不能猜數字。|遇到被裁掉的91歲以上欄，應查完整資料而不是延伸推算。|這個最低比率的分母是？|保單價值準備金~年度收入~全部醫療費~單一年度紅利|講義比率隨年齡升高的方向是？|遞減~固定倍增~完全相同~沒有年齡分類
